Species,SpeciesID,week_1.0,week_1.5,week_2.0,week_2.5,week_3.0,week_3.5,week_4.0,week_4.5,week_5.0,week_5.5,week_6.0,week_6.5,week_7.0,week_7.5,week_8.0,week_8.5,week_9.0,week_9.5,week_10.0,week_10.5,week_11.0,week_11.5,week_12.0,week_12.5,week_13.0,week_13.5,week_14.0,week_14.5,week_15.0,week_15.5,week_16.0,week_16.5,week_17.0,week_17.5,week_18.0,week_18.5,week_19.0,week_19.5,week_20.0,week_20.5,week_21.0,week_21.5,week_22.0,week_22.5,week_23.0,week_23.5,week_24.0,week_24.5,week_25.0,week_25.5,week_26.0,week_26.5,week_27.0,week_27.5,week_28.0,week_28.5,week_29.0,week_29.5,week_30.0,week_30.5,week_31.0,week_31.5,week_32.0,week_32.5,week_33.0,week_33.5,week_34.0,week_34.5,week_35.0,week_35.5,week_36.0
PIFL,PIFL01,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive
PIFL,PIFL02,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive
PIFL,PIFL03,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive
PIFL,PIFL04,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive
PIFL,PIFL05,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive
PIFL,PIFL06,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,dead,dead,dead,dead,dead,dead,dead,dead,dead
PIFL,PIFL07,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
PIFL,PIFL08,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
PIFL,PIFL09,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
PIFL,PIFL10,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
